epoch,learning_rate,loss,val_loss
0,9.999999747378752e-05,-14.102763175964355,-14.800009727478027
1,9.999999747378752e-05,-14.761651039123535,-15.102980613708496
2,9.999999747378752e-05,-15.015861511230469,-15.286152839660645
3,9.999999747378752e-05,-15.182247161865234,-15.411928176879883
4,9.999999747378752e-05,-15.305960655212402,-15.483451843261719
5,9.999999747378752e-05,-15.404544830322266,-15.583475112915039
6,9.999999747378752e-05,-15.487421035766602,-15.622993469238281
7,9.999999747378752e-05,-15.557408332824707,-15.657297134399414
8,9.999999747378752e-05,-15.620257377624512,-15.745707511901855
9,9.999999747378752e-05,-15.677650451660156,-15.768423080444336
10,9.999999747378752e-05,-15.725239753723145,-15.823140144348145
11,9.999999747378752e-05,-15.771161079406738,-15.852896690368652
12,9.999999747378752e-05,-15.814743041992188,-15.845301628112793
13,9.999999747378752e-05,-15.857872009277344,-15.89816665649414
14,9.999999747378752e-05,-15.893325805664062,-15.946654319763184
15,9.999999747378752e-05,-15.917691230773926,-15.977527618408203
16,9.999999747378752e-05,-15.957842826843262,-15.971981048583984
17,9.999999747378752e-05,-15.990004539489746,-16.00754737854004
18,9.999999747378752e-05,-16.0137996673584,-15.961527824401855
19,9.999999747378752e-05,-16.046419143676758,-16.056777954101562
20,9.999999747378752e-05,-16.065176010131836,-16.065364837646484
21,9.999999747378752e-05,-16.091142654418945,-16.065338134765625
22,9.999999747378752e-05,-16.115154266357422,-16.097021102905273
23,9.999999747378752e-05,-16.132261276245117,-16.097457885742188
24,9.999999747378752e-05,-16.155183792114258,-16.129594802856445
25,9.999999747378752e-05,-16.17922592163086,-16.160511016845703
26,9.999999747378752e-05,-16.195913314819336,-16.1478328704834
27,9.999999747378752e-05,-16.217626571655273,-16.187515258789062
28,9.999999747378752e-05,-16.23379135131836,-16.17095375061035
29,9.999999747378752e-05,-16.254573822021484,-16.197546005249023
